2025-12-30T22:00:43.521925339Z I1230 22:00:43.521817       1 leaderelection.go:266] failed to acquire lease kube-system/snapshot-controller-leader
2025-12-30T22:00:49.884558690Z I1230 22:00:49.884306       1 leaderelection.go:456] lock is held by snapshot-controller-8b5bf4d55-hmjk2 and has not yet expired
2025-12-30T22:00:49.884587725Z I1230 22:00:49.884347       1 leaderelection.go:266] failed to acquire lease kube-system/snapshot-controller-leader
2025-12-30T22:00:55.902083401Z I1230 22:00:55.901937       1 leaderelection.go:456] lock is held by snapshot-controller-8b5bf4d55-hmjk2 and has not yet expired
2025-12-30T22:00:55.902113487Z I1230 22:00:55.901956       1 leaderelection.go:266] failed to acquire lease kube-system/snapshot-controller-leader
2025-12-30T22:01:05.749171460Z I1230 22:01:05.748952       1 leaderelection.go:456] lock is held by snapshot-controller-8b5bf4d55-hmjk2 and has not yet expired
2025-12-30T22:01:05.749201997Z I1230 22:01:05.748971       1 leaderelection.go:266] failed to acquire lease kube-system/snapshot-controller-leader
2025-12-30T22:01:15.803823564Z I1230 22:01:15.803718       1 leaderelection.go:456] lock is held by snapshot-controller-8b5bf4d55-hmjk2 and has not yet expired
2025-12-30T22:01:15.803854032Z I1230 22:01:15.803736       1 leaderelection.go:266] failed to acquire lease kube-system/snapshot-controller-leader
2025-12-30T22:01:25.607370843Z I1230 22:01:25.607162       1 leaderelection.go:456] lock is held by snapshot-controller-8b5bf4d55-hmjk2 and has not yet expired
2025-12-30T22:01:25.607410128Z I1230 22:01:25.607180       1 leaderelection.go:266] failed to acquire lease kube-system/snapshot-controller-leader
2025-12-30T22:01:30.641364573Z I1230 22:01:30.641226       1 leaderelection.go:456] lock is held by snapshot-controller-8b5bf4d55-hmjk2 and has not yet expired
2025-12-30T22:01:30.641415328Z I1230 22:01:30.641246       1 leaderelection.go:266] failed to acquire lease kube-system/snapshot-controller-leader
